reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H5290,Walcott Street Surgical Centre,True,-31.936554,115.874141,,,,,private,,False
H5293,South Perth Hospital,True,-31.988465,115.862816,,,,,private,,False
H5334,St John of God Midland Private Hospital,True,-31.8946106,116.0074802,,,,sjog.org.au,private,operator_kw:st john of god,True
H5365,Albany Community Hospice,True,-35.00322,117.904381,,,,,private,,False
H5366,Albany Day Hospital,True,-35.016312,117.89196,,,,,private,,False
H5375,Cambridge Day Surgery,True,-31.940639,115.824883,,,,,private,,False
H5378,Churchill Day Surgery,True,-31.94771,115.831169,,,,,private,,False
H5381,Craigie Day Surgery,True,-31.78446,115.765938,,,,,private,,False
H5395,Icon Cancer Centre Midland,True,-31.89424,116.00531,,,,,private,,False
H5398,Icon Cancer Centre Rockingham,True,-32.28745,115.74693,,,,,private,,False
H5404,Kings Park Day Hospital,True,-31.950455,115.836075,,,,,private,,False
H5411,McCourt Street Day Surgery,True,-31.94138,115.827957,,,,,private,,False
H5415,Murdoch Surgicentre,True,-32.067791,115.844986,,,,,private,,False
H5427,Perth Day Surgery Centre,True,-31.940439,115.82608,,,,,private,,False
H5428,Perth Dermatology Clinic,True,-31.944691,115.863998,,,,,private,,False
H5429,Perth Eye Hospital,True,-31.949883,115.83976,,,,,private,,False
H5431,Rockingham Dialysis Clinic,True,-32.283241,115.746452,,,,,private,,False
H5440,Stirling Dialysis Clinic,True,-31.88913,115.808022,,,,,private,,False
H5446,The Park Private Hospital,True,-31.93434,115.874382,,,,,private,,False
H5451,West Leederville Private Hospital,True,-31.94294,115.82798,,,,,private,,False
H5458,Bunbury Day Hospital,True,-33.340477,115.639557,,,,,private,,False
H5459,Cannington Dialysis Clinic,True,-32.016842,115.934967,,,,,private,,False
H5474,Lions Eye Institute Day Surgery Centre,True,-31.96793,115.814934,,,,,private,,False
H5477,Midland Dialysis Clinic,True,-31.88781,116.00413,,,,,private,,False
H5478,Western Haematology and Oncology Clinics,True,-31.94462,115.84181,,,,,private,,False
H5481,Southbank Day Surgery,True,-31.975916,115.871857,,,,,private,,False
H5482,Spearwood Dialysis Clinic,True,-32.09556,115.78343,,,,,private,,False
H5491,St John of God Subiaco Eye Hospital,True,-31.94045,115.82416,,,,sjog.org.au,private,operator_kw:st john of god,True
H5492,West Coast Endoscopy Centre,True,-31.73946,115.76764,,,,,private,,False
H5495,Genesis Cancer Care Fiona Stanley,True,-31.941799,115.822639,,,,,private,,False
H5496,GI Clinic Perth,True,-32.04477,115.81263,,,,,private,,False
H5502,Genesis Cancer Care Shenton House Joondalup,True,-31.74084,115.77066,,,,,private,,False
H5504,Marian Centre,True,-31.9405,115.82337,,,,,private,,False
H5509,Abbotsford Private Hospital,True,-31.94091,115.83768,,,,,private,,False
