reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0108,"Scott Memorial Hospital, Scone",False,-32.051525,150.876864,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0109,Singleton Hospital,False,-32.567087,151.185736,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0110,"Wilson Memorial Community Hospital, Murrurundi",False,-31.770408,150.834764,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0111,Tomaree Community Hospital,False,-32.720053,152.158858,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0112,John Hunter Hospital,False,-32.922177,151.692438,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0113,Ballina District Hospital,False,-28.863525,153.564013,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0116,Casino and District Memorial Hospital,False,-28.859839,153.035827,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0117,Bonalbo Hospital,False,-28.733777,152.622789,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0118,Grafton Base Hospital,False,-29.674807,152.941274,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0119,Kyogle Multi Purpose Service,False,-28.627124,153.001742,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0120,Lismore Base Hospital,False,-28.809191,153.291045,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0121,Nimbin Multi Purpose Service,False,-28.597371,153.223185,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0122,Maclean District Hospital,False,-29.454219,153.201094,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0124,Murwillumbah District Hospital,False,-28.323417,153.400811,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0125,The Tweed Hospital,False,-28.177216,153.545458,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0126,Urbenville Multi Purpose Service,False,-28.471511,152.543029,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0127,Riverlands Drug and Alcohol Centre,False,-28.80834,153.29112,Northern NSW,North Coast,,health.nsw.gov.au,unknown,lhn:northern nsw,True
H0128,Bellinger River District Hospital,False,-30.457256,152.893209,Mid North Coast,North Coast,,health.nsw.gov.au,unknown,lhn:mid north coast,True
H0129,Coffs Harbour Hospital,False,-30.317579,153.093667,Mid North Coast,North Coast,,health.nsw.gov.au,unknown,lhn:mid north coast,True
H0130,Dorrigo Multi Purpose Service,False,-30.340625,152.713882,Mid North Coast,North Coast,,health.nsw.gov.au,unknown,lhn:mid north coast,True
H0131,Kempsey District Hospital,False,-31.067841,152.820038,Mid North Coast,North Coast,,health.nsw.gov.au,unknown,lhn:mid north coast,True
