reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0478,Moranbah Hospital,False,-22.002125,148.055287,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
H0479,Proserpine Hospital,False,-20.400017,148.584976,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
H0480,Sarina Hospital,False,-21.421151,149.210268,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
H0481,Dysart Hospital,False,-22.582729,148.353044,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
H0482,Ayr Hospital,False,-19.564066,147.408821,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0483,Bowen Hospital,False,-20.007104,148.240327,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
H0484,Charters Towers Hospital,False,-20.076167,146.264097,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0485,Collinsville Hospital,False,-20.546108,147.838146,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
H0486,Home Hill Hospital,False,-19.661764,147.416759,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0487,Ingham Hospital,False,-18.652293,146.164222,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0488,Joyce Palmer Health Service,False,-18.732733,146.578731,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0489,Townsville University Hospital,False,-19.320683,146.762092,Townsville,Northern Queensland,,health.qld.gov.au,unknown,lhn:townsville,True
H0490,Royal Brisbane & Women's Hospital,False,-27.446972,153.027888,Metro North (Qld),Brisbane North,,health.qld.gov.au,unknown,lhn:metro north (qld),True
H0491,Atherton Hospital,False,-17.266635,145.483177,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0492,Babinda Hospital,False,-17.343079,145.918908,Cairns and Hinterland,Northern Queensland,,health.qld.gov.au,unknown,lhn:cairns and hinterland,True
H0493,Bamaga Hospital,False,-10.893996,142.385131,Torres and Cape,Northern Queensland,,health.qld.gov.au,unknown,lhn:torres and cape,True
