reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H1046,Mallee Track Health & Community Service [Sea Lake],False,False,-35.500395,142.858003,LHN280,Mallee Track Health and Community Service,PHN205,Murray
H1047,Ursula Frayne Centre,False,False,-37.791148,144.886747,LHN267,Mercy Public Hospital Inc. (Vic),PHN201,North Western Melbourne
H1049,St Vincent's On the Park,False,False,-37.81115,144.97784,LHN262,St Vincent's Hospital (Melbourne) Limited,PHN201,North Western Melbourne
H1054,Victorian Heart Hospital,False,False,-37.91254,145.13984,LHN269,Monash Health,PHN202,Eastern Melbourne
H1055,Blackburn Public Surgical Centre,False,False,-37.83332,145.15611,LHN234,Eastern Health (Vic),PHN202,Eastern Melbourne
H1056,Frankston Public Surgical Centre,False,False,-38.1544,145.13313,LHN270,Peninsula Health (Vic),PHN203,South Eastern Melbourne
H1057,Sandringham Monash,False,False,-37.961049,145.018157,LHN269,Monash Health,PHN203,South Eastern Melbourne
H1060,Casey Early Parenting Centre,False,False,-38.09400971455602,145.34344614603108,LHN269,Monash Health,PHN203,South Eastern Melbourne
H1061,Wyndham Early Parenting Centre,False,False,-37.887658114488794,144.6923555976354,LHN999,Not stated/inadequately described,PHN201,North Western Melbourne
H1062,Whittlesea Early Parenting Centre,False,False,-37.64895327721592,145.07769055344102,LHN267,Mercy Public Hospital Inc. (Vic),PHN202,Eastern Melbourne
H1065,Barwon Health North,False,False,,,LHN231,Barwon Health,PHN206,Western Victoria
H1066,Wayipunga Early Parenting Centre,False,False,-36.765508992623616,144.29099262505918,LHN210,Bendigo Health Care Group,PHN205,Murray
H1067,Goulburn Valley Health [Euroa],False,False,-36.75912524197217,145.57030258412962,LHN235,Goulburn Valley Health,PHN205,Murray
H5005,Albert Road Clinic,True,False,-37.834246,144.972151,,,,
H5017,Beleura Private Hospital,True,False,-38.225484,145.049136,,,,
H5027,Cabrini Brighton,True,False,-37.91165,144.991572,,,,
H5028,Cabrini Health Elsternwick Rehabilitation - Glenhuntly Rd,True,False,-37.88543,145.009328,,,,
H5029,Cabrini Health Elsternwick Rehabilitation - Hopetoun,True,False,-37.884778,145.01039,,,,
H5030,Cabrini Malvern,True,False,-37.861641,145.0335,,,,
H5031,Cabrini Prahran,True,False,-37.854034,145.009017,,,,
H5063,Donvale Rehabilitation Hospital,True,False,-37.789836,145.171655,,,,
H5064,Dorset Rehabilitation Centre,True,False,-37.723402,144.947436,,,,
H5069,Epworth Eastern,True,False,-37.814678,145.119368,,,,
H5070,Epworth Freemasons [Albert Street],True,False,-37.810694,144.984107,,,,
H5071,Epworth Freemasons [Victoria Parade],True,False,-37.809284,144.98212,,,,
H5072,Epworth Rehabilitation Brighton,True,False,-37.913689,145.002815,,,,
H5073,Epworth Camberwell,True,False,-37.846223,145.054689,,,,
H5074,Epworth Richmond Rehabilitation,True,False,-37.817419,144.993503,,,,
H5075,Epworth Richmond,True,False,-37.817433,144.993029,,,,
H5081,Frances Perry House,True,False,-37.798758,144.955135,,,,
H5084,Ramsay Surgical Centre Glenferrie,True,False,-37.819459,145.031544,,,,
H5101,John Fawkner Private Hospital,True,False,-37.754369,144.958398,,,,
H5107,Knox Private Hospital,True,False,-37.849645,145.228035,,,,
H5111,Linacre Private Hospital,True,False,-37.942699,145.003259,,,,
H5114,Maryvale Private Hospital,True,False,-38.215028,146.418561,,,,
H5115,Masada Private Hospital,True,False,-37.869799,145.003096,,,,
H5130,Melbourne Private Hospital,True,False,-37.798272,144.957025,,,,
H5132,St Vincent's Private Hospital [East Melbourne],True,False,-37.811733,144.984164,,,,
H5135,Mildura Health Private Hospital,True,False,-34.18479,142.145705,,,,
H5136,Mitcham Private Hospital,True,False,-37.810436,145.194808,,,,
H5144,Murray Valley Private Hospital,True,False,-36.138419,146.876478,,,,
H5151,North Eastern Rehabilitation Centre,True,False,-37.763424,145.031344,,,,
H5154,Northpark Private Hospital,True,False,-37.691208,145.061631,,,,
H5167,Peninsula Private Hospital Victoria,True,False,-38.157557,145.169552,,,,
H5175,Ringwood Private Hospital,True,False,-37.811523,145.243629,,,,
H5179,Shepparton Private Hospital,True,False,-36.359183,145.410825,,,,
H5182,South Eastern Private Hospital,True,False,-37.966243,145.191922,,,,
H5192,St John of God Ballarat Hospital,True,False,-37.558544,143.847406,,,,
H5193,St John of God Bendigo Hospital,True,False,-36.762043,144.263298,,,,
H5194,St John of God Berwick Hospital,True,False,-38.034499,145.344974,,,,
H5197,St John of God Geelong Hospital,True,False,-38.151567,144.357679,,,,
H5202,St John of God Warrnambool Hospital,True,False,-38.371405,142.478749,,,,
H5203,St John of God Frankston Rehabilitation Hospital,True,False,-38.153035,145.155926,,,,
H5209,St Vincent's Private Hospital Fitzroy,True,False,-37.807993,144.976029,,,,
H5222,The Avenue Hospital,True,False,-37.854809,144.998513,,,,
H5223,The Bays Hospital,True,False,-38.223524,145.040939,,,,
H5226,The Geelong Clinic,True,False,-38.182406,144.393267,,,,
H5231,The Melbourne Clinic,True,False,-37.814361,144.998739,,,,
H5236,Mulgrave Private Hospital,True,False,-37.938409,145.213122,,,,
H5237,The Victoria Clinic,True,False,-37.847714,144.997225,,,,
H5238,The Victorian Rehabilitation Centre,True,False,-37.898227,145.161425,,,,
H5245,Victoria Parade Surgery Centre,True,False,-37.808521,144.97476,,,,
H5246,St Vincent's Private Hospital [Kew],True,False,-37.806567,145.023694,,,,
H5248,Wangaratta Private Hospital,True,False,-36.349299,146.312423,,,,
H5250,Warringal Private Hospital,True,False,-37.754419,145.060728,,,,
H5251,Waverley Private Hospital,True,False,-37.884632,145.145798,,,,
H5255,Western Private Hospital,True,False,-37.793045,144.885932,,,,
H5276,Manningham Day Procedure Centre,True,False,-37.773471,145.115662,,,,
H5279,Vision Day Surgery Eastern,True,False,-37.817591,145.119433,,,,
H5280,Vision Day Surgery Camberwell,True,False,-37.83252,145.0556,,,,
H5281,Vision Day Surgery Footscray,True,False,-37.800508,144.895155,,,,
H5286,Vision Eye Institute,True,False,-37.850605,144.980304,,,,
H5289,Epworth Hawthorn,True,False,-37.821229,145.023405,,,,
H5307,Hobsons Bay Endoscopy Centre Werribee,True,False,-37.890649,144.686494,,,,
H5308,Altona Endoscopy Centre,True,False,-37.869448,144.828494,,,,
H5309,Hobsons Bay Endoscopy Centre Sydenham,True,False,-37.693365,144.758677,,,,
H5314,Ballarat Day Procedure Centre,True,False,-37.540799,143.83214,,,,
H5328,Jessie McPherson Private Hospital,True,False,-37.9201,145.1225,,,,
H5337,La Trobe Private Hospital,True,False,-37.716679,145.044334,,,,
H5338,Holmesglen Private Hospital,True,False,-37.935738,145.050581,,,,
H5339,Epworth Geelong,True,False,-38.193882,144.302472,,,,
H5354,Brunswick Private Hospital,True,False,-37.756737,144.972183,,,,
H5355,St Vincent's Private Hospital [Werribee],True,False,-37.887905,144.701508,,,,
H5371,Bendigo Day Surgery,True,False,-36.761902,144.261673,,,,
H5383,Delmont Private Hospital,True,False,-37.856853,145.094055,,,,
H5387,Forest Hill Dialysis Clinic,True,False,-37.836281,145.166397,,,,
H5408,Malvern Dialysis Clinic,True,False,-37.851421,145.030624,,,,
H5413,Monash House Private Hospital,True,False,-37.920898,145.120193,,,,
H5416,Neerim District Health Service,True,False,-38.022629,145.953903,,,,
H5425,PANCH Day Surgery Centre,True,False,-37.752338,145.006271,,,,
